id,title,description,link,product_type,google_product_category,image_link,condition,availability,sale_price,price,mpn,brand,item_group_id
2078,"Lenço Poá - Champagne","Lenço, estampa em poá.    <strong>Medida:</strong>  70cm x 70cm    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/lenco-poa-champagne/,ACESSÓRIOS>LENÇO,ACESSÓRIOS>LENÇO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Lenço_Póa_Champagne-1.png,new,"in stock",,"25.00 BRL",0.00,com,2078
1810,"Lenço Poá - Preto","Lenço, estampa em poá.    <strong>Medida:</strong>  70cm x 70cm    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/lenco-poa-preto/,ACESSÓRIOS>LENÇO,ACESSÓRIOS>LENÇO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Lenço_Póa_Preto-1.png,new,"in stock",,"25.00 BRL",0.00,com,1810
1809,"Lenço Poá - Vermelho","Lenço, estampa em poá.    <strong>Medida:</strong>  70cm x 70cm    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/lenco-poa-vermelho/,ACESSÓRIOS>LENÇO,ACESSÓRIOS>LENÇO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Lenço_Póa_Vermelho-1.png,new,"in stock",,"25.00 BRL",0.00,com,1809
1806,"Bolsa Bambu","Bolsa Bambu, com Botão de fechamento superior. Detalhe em Bambu na frete. Alça de ombro Couro.  **Não acompanha lenço**    <strong>Medida:</strong>  Diâmetro: 19cm | Largura: 6,5cm | Alça: 68cm    <strong>Composição:</strong>  Sintética",https://www.folen.com.br/produto/bolsa-bambu/,ACESSÓRIOS>BOLSA,ACESSÓRIOS>BOLSA,https://www.folen.com.br/wp-content/uploads/2019/08/bolsa_bambu_folen.png,new,"in stock",,"198.00 BRL",0.00,com,1806
1805,"Bolsa Palha - Camel","Bolsa Palha na cor Camel, com Botão frontal. Alça de ombro corrente na cor Grafite.    <strong>Medida:</strong>  Comprimento da base: 20cm | Largura: 6cm | Altura: 14cm | Alça: 65cm    <strong>Composição:</strong>  Sintético",https://www.folen.com.br/produto/bolsa-palha-camel/,ACESSÓRIOS>BOLSA,ACESSÓRIOS>BOLSA,https://www.folen.com.br/wp-content/uploads/2019/08/bolsa_palha_folen_3.png,new,"in stock",,"160.90 BRL",0.00,com,1805
1804,"Bolsa Palha - Preta","Bolsa Palha na cor Preta, com Botão frontal. Alça de ombro corrente na cor Grafite.    <strong>Medida:</strong>  Comprimento da base: 20cm | Largura: 6cm | Altura: 14cm | Alça: 65cm    <strong>Composição:</strong>  Sintético",https://www.folen.com.br/produto/bolsa-palha-grafite/,ACESSÓRIOS>BOLSA,ACESSÓRIOS>BOLSA,https://www.folen.com.br/wp-content/uploads/2019/08/bolsa_palha_petra_folen_4-3.png,new,"in stock",,"160.90 BRL",0.00,com,1804
1803,"Bolsa Mini - Preta","Bolsa Mini, com fecho frontal. Alça de mão e de ombro.  **Não acompanha lenço na alça**    <strong>Medida:</strong>  Comprimento da base: 19cm | Largura: 6cm | Altura: 13cm | Alça: 50cm    <strong>Composição:</strong>  100% PU  Forro:  100% Poliéster",https://www.folen.com.br/produto/bolsa-mini-preta/,ACESSÓRIOS>BOLSA,ACESSÓRIOS>BOLSA,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Mini_Bolsa_Preta-2.png,new,"in stock",,"160.90 BRL",0.00,com,1803
1801,"Cinto Palha Etnico - Verde e Bege","Cinto Palha, com elasticidade. Fivela redonda.  **Tamanho único**",https://www.folen.com.br/produto/cinto-palha-etnia-verde-e-bege/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Cinto_Etnia_verde-2.png,new,"in stock",45.99BRL,"45.99 BRL",0.00,com,1801
1802,"Cinto Palha Etnico - Verde e Bege - Único","Cinto Palha, com elasticidade. Fivela redonda.  **Tamanho único**",https://www.folen.com.br/produto/cinto-palha-etnia-verde-e-bege/?attribute_pa_tamanho=unico,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Cinto_Etnia_verde-2.png,new,"in stock",,"45.99 BRL",0.00,com,1801
1797,"Cinto Palha - Branco","Cinto Palha, com elasticidade. Fivela redonda.  **Tamanho único**",https://www.folen.com.br/produto/cinto-palha-branco/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Cinto_Palha_Branco-3.png,new,"in stock",34.90BRL,"34.90 BRL",0.00,com,1797
1800,"Cinto Palha - Branco - Único","Cinto Palha, com elasticidade. Fivela redonda.  **Tamanho único**",https://www.folen.com.br/produto/cinto-palha-branco/?attribute_pa_tamanho=unico,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Cinto_Palha_Branco-3.png,new,"in stock",,"34.90 BRL",0.00,com,1797
1794,"Cinto Couro - Zebra - P","Cinto Couro pelo de Zebra. Fivela trabalhada.    <strong>Composição:</strong>  85% PVC  15% Poliéster",https://www.folen.com.br/produto/cinto-couro-zebra/?attribute_pa_tamanho=p,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Cinto_Zebra_Folen-3.png,new,"in stock",,"103.00 BRL",0.00,com,1792
1792,"Cinto Couro - Zebra","Cinto Couro pelo de Zebra. Fivela trabalhada.    <strong>Composição:</strong>  85% PVC  15% Poliéster",https://www.folen.com.br/produto/cinto-couro-zebra/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/folen_Cinto_Zebra_Folen-3.png,new,"in stock",103.00BRL,"103.00 BRL",0.00,com,1792
1790,"Camisa Bolsos - Off White - M","Camisa com Bolsos Frontais, Abertura com Botões frontais e Costura na cor Camel.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/camisa-bolsos-off-white/?attribute_pa_tamanho=m,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-12.png,new,"in stock",,"179.90 BRL",0.00,com,1788
1788,"Camisa Bolsos - Off White","Camisa com Bolsos Frontais, Abertura com Botões frontais e Costura na cor Camel.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/camisa-bolsos-off-white/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-12.png,new,"in stock",179.90BRL,"179.90 BRL",0.00,com,1788
1786,"Regata Tricô - Verde Menta - M","Regata Tricô sem Manga.    <strong>Composição:</strong>  77% viscose  23% Poliamida",https://www.folen.com.br/produto/regata-trico-verde-menta/?attribute_pa_tamanho=m,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-3.png,new,"in stock",,"159.90 BRL",0.00,com,1784
1787,"Regata Tricô - Verde Menta - G","Regata Tricô sem Manga.    <strong>Composição:</strong>  77% viscose  23% Poliamida",https://www.folen.com.br/produto/regata-trico-verde-menta/?attribute_pa_tamanho=g,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-3.png,new,"in stock",,"159.90 BRL",0.00,com,1784
1784,"Regata Tricô - Verde Menta","Regata Tricô sem Manga.    <strong>Composição:</strong>  77% viscose  23% Poliamida",https://www.folen.com.br/produto/regata-trico-verde-menta/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-3.png,new,"in stock",159.90BRL,"159.90 BRL",0.00,com,1784
1783,"T-Shirt Coffee - Mescla - G","T-Shirt Coffe Podrinha, Decote em U.    <strong>Composição:</strong>  93% viscose  07% Elastano",https://www.folen.com.br/produto/t-shirt-coffee-mescla/?attribute_pa_tamanho=g,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-7.png,new,"out of stock",,"79.90 BRL",0.00,com,1780
1782,"T-Shirt Coffee - Mescla - M","T-Shirt Coffe Podrinha, Decote em U.    <strong>Composição:</strong>  93% viscose  07% Elastano",https://www.folen.com.br/produto/t-shirt-coffee-mescla/?attribute_pa_tamanho=m,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-7.png,new,"in stock",,"79.90 BRL",0.00,com,1780
1780,"T-Shirt Coffee - Mescla","T-Shirt Coffe Podrinha, Decote em U.    <strong>Composição:</strong>  93% viscose  07% Elastano",https://www.folen.com.br/produto/t-shirt-coffee-mescla/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-7.png,new,"in stock",79.90BRL,"79.90 BRL",0.00,com,1780
1777,"Cropped Acetinado Botões - Mostarda - P","Cropped Acetinado, com detalhes em Botões frontais. Alça Finas Reguláveis.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/cropped-acetinado-botoes-mostarda/?attribute_pa_tamanho=p,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-15.png,new,"in stock",,"99.90 BRL",0.00,com,1776
1778,"Cropped Acetinado Botões - Mostarda - M","Cropped Acetinado, com detalhes em Botões frontais. Alça Finas Reguláveis.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/cropped-acetinado-botoes-mostarda/?attribute_pa_tamanho=m,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-15.png,new,"in stock",,"99.90 BRL",0.00,com,1776
1776,"Cropped Acetinado Botões - Mostarda","Cropped Acetinado, com detalhes em Botões frontais. Alça Finas Reguláveis.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/cropped-acetinado-botoes-mostarda/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-15.png,new,"in stock",99.90BRL,"99.90 BRL",0.00,com,1776
1773,"Cropped Acetinado Botões - Rosa - P","Cropped Acetinado, com detalhes em Botões frontais. Alça Finas Reguláveis.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/cropped-acetinado-botoes-rosa/?attribute_pa_tamanho=p,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-1.png,new,"in stock",,"99.90 BRL",0.00,com,1772
1774,"Cropped Acetinado Botões - Rosa - M","Cropped Acetinado, com detalhes em Botões frontais. Alça Finas Reguláveis.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/cropped-acetinado-botoes-rosa/?attribute_pa_tamanho=m,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-1.png,new,"in stock",,"99.90 BRL",0.00,com,1772
1772,"Cropped Acetinado Botões - Rosa","Cropped Acetinado, com detalhes em Botões frontais. Alça Finas Reguláveis.    <strong>Composição:</strong>  100% Poliéster",https://www.folen.com.br/produto/cropped-acetinado-botoes-rosa/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-1.png,new,"in stock",99.90BRL,"99.90 BRL",0.00,com,1772
1762,"Vestido Midi Navy - Estampado","Vestido Midi Navy Assimétrico, Estampado. Elástico posterior e cintura. Alça média.    <strong>Composição:</strong>  100% Viscose",https://www.folen.com.br/produto/vestido-midi-navy-estampado/,ROUPAS>VESTIDO,ROUPAS>VESTIDO,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0000_IMG_4824.PNG.png,new,"in stock",299.90BRL,"338.00 BRL",0.00,com,1762
1763,"Vestido Midi Navy - Estampado - P","Vestido Midi Navy Assimétrico, Estampado. Elástico posterior e cintura. Alça média.    <strong>Composição:</strong>  100% Viscose",https://www.folen.com.br/produto/vestido-midi-navy-estampado/?attribute_pa_tamanho=p,ROUPAS>VESTIDO,ROUPAS>VESTIDO,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0000_IMG_4824.PNG.png,new,"in stock",299.90BRL,"338.00 BRL",0.00,com,1762
